age,IndividualID,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
50,0034V00002Ze2shQAB, Self-emp-not-inc,83311, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,13, United-States,<=50K
38,0034V00002Ze2siQAB, Private,215646, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,<=50K
53,0034V00002Ze2sjQAB, Private,234721,11th,7, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States,<=50K
28,0034V00002Ze2skQAB, Private,338409, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, Cuba,<=50K
37,0034V00002Ze2slQAB, Private,284582, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,<=50K
49,0034V00002Ze2smQAB, Private,160187,9th,5, Married-spouse-absent, Other-service, Not-in-family, Black, Female,0,0,16, Jamaica,<=50K
52,0034V00002Ze2snQAB, Self-emp-not-inc,209642, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States,>50K
31,0034V00002Ze2soQAB, Private,45781, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,14084,0,50, United-States,>50K
42,0034V00002Ze2spQAB, Private,159449, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,40, United-States,>50K
37,0034V00002Ze2sqQAB, Private,280464, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,80, United-States,>50K
30,0034V00002Ze2srQAB, State-gov,141297, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, India,>50K
23,0034V00002Ze2ssQAB, Private,122272, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,30, United-States,<=50K
32,0034V00002Ze2stQAB, Private,205019, Assoc-acdm,12, Never-married, Sales, Not-in-family, Black, Male,0,0,50, United-States,<=50K
40,0034V00002Ze2suQAB, Private,121772, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, ?,>50K
34,0034V00002Ze2tBQAR, Private,245487,7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,45, Mexico,<=50K
25,0034V00002Ze2tCQAR, Self-emp-not-inc,176756, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,35, United-States,<=50K
32,0034V00002Ze2tDQAR, Private,186824, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, United-States,<=50K
38,0034V00002Ze2tEQAR, Private,28887,11th,7, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,<=50K
43,0034V00002Ze2tFQAR, Self-emp-not-inc,292175, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, United-States,>50K
40,0034V00002Ze2tGQAR, Private,193524, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States,>50K
54,0034V00002Ze2tHQAR, Private,302146, HS-grad,9, Separated, Other-service, Unmarried, Black, Female,0,0,20, United-States,<=50K
35,0034V00002Ze2tIQAR, Federal-gov,76845,9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0,40, United-States,<=50K
43,0034V00002Ze2tJQAR, Private,117037,11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2042,40, United-States,<=50K
59,0034V00002Ze2tKQAR, Private,109015, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States,<=50K
56,0034V00002Ze2tLQAR, Local-gov,216851, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,>50K
19,0034V00002Ze2tMQAR, Private,168294, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States,<=50K
54,0034V00002Ze2tNQAR, ?,180211, Some-college,10, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,0,0,60, South,>50K
39,0034V00002Ze2tOQAR, Private,367260, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,80, United-States,<=50K
49,0034V00002Ze2tPQAR, Private,193366, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,<=50K
23,0034V00002Ze2tQQAR, Local-gov,190709, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, White, Male,0,0,52, United-States,<=50K
20,0034V00002Ze2tRQAR, Private,266015, Some-college,10, Never-married, Sales, Own-child, Black, Male,0,0,44, United-States,<=50K
45,0034V00002Ze2tSQAR, Private,386940, Bachelors,13, Divorced, Exec-managerial, Own-child, White, Male,0,1408,40, United-States,<=50K
30,0034V00002Ze2tTQAR, Federal-gov,59951, Some-college,10, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0,0,40, United-States,<=50K
22,0034V00002Ze2tUQAR, State-gov,311512, Some-college,10, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,15, United-States,<=50K
